objectid,title,Creator ,description,Date,location,Latitude,Longitude,subject,source,type,format,rights,rightsstatement,object_location,filename
latchbo0001,A Bean and Cheese Taco Birthday,Diane Gonzales Bertrand; Robert Trujillo,"Darío's, five-year-old brother, Ariel wants to celebrate his birthday with his family at the park and eat bean and cheese tacos.",2015,"San Antonio, Texas",29.43045738,-98.50924795,Birthdays--Fiction; Parties--Fiction; Brothers--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0001.jpg
latchbo0002,A Charmed Life,Gladys E. Barbieri; Lisa Fields,Felicia goes with her mother to the house where she works as a cleaning lady; as her mother is working Felicia bonds with the Mrs. Fitzpatrick who gives her a charmed bracelet.,2016,"Los Angeles, California",34.0507663,-118.2648393,Mothers and daughters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0002.jpg
latchbo0003,A Day with My Aunts,Amilú Bernardo; Christina Rodriguez,"Isabel looks forward to spending Saturdays with her aunts cooking, dancing and playing dress up. Includes recipe.",2006,"Plantation, Florida",26.12908759,-80.24116463,Aunts--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0003.jpg
latchbo0004,A Day Without Sugar,Diane de Anda; Janet Montecalvo,"Because ten-year-old Tito is at risk of developing diabetes like some his relatives , Tía SofÍa spends a day teaching him and his cousins about healthy, low-sugar or sugar-free treats.",2012,"Los Angeles, California",34.0507663,-118.2648393,Food habits--Fiction; Aunts--Fiction; Cousins--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0004.jpg
latchbo0005,A Suprise for Teresita,Virginia Sánchez-Korrol; Carolyn Dee Flores,Teresita waits for the sounds of Tío Rámon's snow cone cart on her birthday as she awaits her suprise from him. ,2016,"Brooklyn, New York",40.67672762,-73.9453437,Birthdays--Fiction; Suprises--Fiction; Hispanic American--Fiction; Spanish language materials--Fiction,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0005.jpg
latchbo0006,A Train Called Hope,Mario Bencastro; Roberto Casilla,This bilingual picture book contrasts a boy's enjoyment of his childhood toy train with his dangerous journey north crowded on a real train in seach of  family and a better future.,2021,"Ahuachapan, El Salvador",13.92656524,-89.83911183,"Railroad trains--Juvenile poetry; Emigration and immigration--Juvenile poetry; Children's poetry, Salvadoran; Railraod trains--poetry; Emigration and immigration--Poetry; Salvadoran poetry; Spanish language materials--Bilingual",,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0006.jpg
latchbo0007,Adelita and the Veggie Cousins,Diane Gonzales Bertrand; Christina Rodriguez,"On her first day at a new school, Adelita makes new friends through a lesson on vegetables, including how some vegetables are ""cousins"" because they share certain characters.",2011,"San Antonio, Texas",29.43045738,-98.50924795,Vegetables--Fiction; First day of school--Fiction; Schools--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0007.jpg
latchbo0008,Alicia's Fruity Drinks,Lupe Ruiz-Flores; Laura Lacámara,"After enjoying a blended fruit drink called aguas frescas during a festival celebrating Mexico's independence, seven-year-old Alicia and her mother make their own at home, then invite Alicia's soccer team over to try them.",2012,"San Antonio, Texas",29.43045738,-98.50924795,Fruit juices--Ficition; Diabetes--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0008.jpg
latchbo0009,Baseball on Mars,"Rafael Rivera, Jr. and Tim Hoppey; Christina Rodriguez","After ""traveling to Mars"" in Roberto's homemade spaceship, Roberto and his father play a game of catch.",2009,"The Bronx, New York",40.84565752,-73.85947624,Imagination--Fiction; Fathers and sons--Fiction; Space vehicles--Fiction; Puerto Ricans--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0009.jpg
latchbo0010,Benito's Bizcochitos,Ana Baca; Anthony Accardo,"As they prepare to make the traditional Christmas cookies known as bizcochitos, Cristina's grandmother tells her the story of how a magical butterfly first introduced these sweet treats to her great-grandfather, a sheperd in the hills of New Mexico.",1999,"Albuquerque, New Mexico",35.08423731,-106.6414756,Mexican American--Juvenile fiction; Mexican Americans--Fiction; Cookies--Fiction; Christmas--Fiction; Spanish language materials--Bilingual,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0010.jpg
