objectid,identifier,filename,title,isbn,title-es,creator,illustrator,translator,description-en,description-es,date,location_first_en,location_first_es,latitude_first,longitude_first,location_second_en,location_second_es,latitude_second,longitude_second,location_third_en,location_third_es,latitude_third,longitude_third,location_fourth_en,location_fourth_es,latitude_fourth,longitude_fourth,subject-en,subject-es,tags-en,tags-es,age_group_interest_level,lexile level,lexile level spanish,atos level english,atos level spanish,ar_id,language,source,type,format,rights,rightsstatement
latchbo0001,1,latchbo0001.jpg,A Bean and Cheese Taco Birthday,1558858121,Un cumpleaños con tacos de frijoles con queso,Diane Gonzales Bertrand,Robert Trujillo,Gabriela Baeza Ventura,"Darío's, five-year-old brother, Ariel wants to celebrate his birthday with his family at the park and eat bean and cheese tacos.","Ariel, el hermano de Darío, de cinco años, quiere celebrar su cumpleaños con su familia en el parque y comer tacos de queso y frijoles.",2015,"San Antonio, TX","San Antonio, TX",29.4318576360270,-98.4979500102036000,,,,,,,,,,,,,Birthdays--Fiction; Parties--Fiction; Brothers--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Cumpleaños--Ficción; Fiestas--Ficción; Hermanos--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Brothers; Birthdays; Birthday Party; Tacos; Park,hermanos; cumpleaños; fiesta de cumpleaños; tacos; parque,lower grades,,,2.9,2.8,177324,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0002,1,latchbo0002.jpg,A Charmed Life,155885827X,Una vida con suerte,Gladys E. Barbieri,Lisa Fields,Carolina E. Alonso,Felicia goes with her mother to the house where she works as a cleaning lady; as her mother is working Felicia bonds with the Mrs. Fitzpatrick who gives her a charmed bracelet.,"Felicia va con su madre a la casa en donde trabaja en la limpieza; y mientras su trabaja, Felicia establece un lazo afectico con la Señora Fitzpatrick quien le da una pulsera de dijes.",2016,"Los Angeles, CA","Los Ángeles, CA",34.0610061466069,-118.2002894138790,,,,,,,,,,,,,Mothers and daughters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Madres e hijas--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Immigrants; Immigrant experience; Charm bracelet; Cultural differences,inmigrantes; experencia de inmigrantes; pulsera de dijes; diferencias,lower grades,,,3.6,3.3,182024,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0003,1,latchbo0003.jpg,A Day with My Aunts,155885374X,Un día con mis tías,Amilú Bernardo,Christina Rodriguez,,"Isabel looks forward to spending Saturdays with her aunts cooking, dancing, and playing dress up.","Isabel está anticipando el pasar el sábado con sus tías cocinando, bailando y jugando a vestirse elegante. ",2006,"Plantation, FL","Plantation, Florida",26.1286475426195,-80.2354999608157,,,,,,,,,,,,,Aunts--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Tías--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Family; Aunts; Traditional cooking; Empanadas; Cuban; Picadillo; Dress up; Family time,familia; tías; cocina tradicional; empanadas; cubanos picadillo; disfrazarse; tiemp de familia,lower grades,,,2.9,3.2,111505,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0004,1,latchbo0004.jpg,A Day Without Sugar,1558857028,Un día sin azúcar,Diane de Anda,Janet Montecalvo,Gabriela Baeza Ventura,"Because ten-year-old Tito is at risk of developing diabetes like some his relatives, Tía SofÍa spends a day teaching him and his cousins about healthy, low-sugar or sugar-free treats.","Tito está en peligro de desarrollar diabetes como sus parientes, por eso Tía Sofía se pasa el día enseñándole a él y a sus primos sobre los postres y premios bajos en azúcar y sin azúcar.",2012,"Los Angeles, CA","Los Ángeles, CA",34.0610061466069,-118.2002894138790,,,,,,,,,,,,,Food habits--Fiction; Aunts--Fiction; Cousins--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Hábitos de comida--Ficción; Tías--Ficción; Primos--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Family; Diabetes; Lifestyle changes; Sugar; Healthy eating,Familia; Diabetes; Cambios en el estilo de vida; Azúcar; Comida saludable,lower grades,,,3.8,3.5,152600,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0005,1,latchbo0005.jpg,A Suprise for Teresita,,Una sopresa para Teresita,Virginia Sánchez-Korrol,Carolyn Dee Flores,Gabriela Baeza Ventura,Teresita waits for the sounds of Tío Rámon's snow cone cart on her birthday as she awaits her suprise from him.,Teresita espera oír las campanas del carrito de piraguas de Tío Ramón el día de su cumpleaños porque sabe que le traerá un regalo.,2016,"Brooklyn, NY","Brooklyn, Nueva York",40.6798520512980,-73.9539267963338,,,,,,,,,,,,,Birthdays--Fiction; Suprises--Fiction; Hispanic American--Fiction; Spanish language materials--Fiction,Cumpleaños--Ficción; Sopresas--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Snow cones; Vendor; Birthday; Kitten; Kittens; Puerto Rico; Puerto Rican; Community; Neighborhood; Patience; Surprise gift,Piragua; Cumpleaños;  Gatito; Puerto Rico; Puertorriqueño; Comunidad; Barrio; Paciencia; Regalo sorpresa,lower grades,,,,,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0006,1,latchbo0006.jpg,A Train Called Hope,1955675775,Un tren llamado esperanza,Mario Bencastro,Roberto Casilla,,This picture book contrasts a boy's enjoyment of his childhood toy train with his dangerous journey north crowded on a real train in seach of family and a better future.,Este libro contrasta el placer de jugar con su trenecito de juguete con la peligrosa travesía de viajar al norte en un tren de verdad abarratodo de gente en busca de familia y un mejor futuro.,2021,"Ahuachapan, El Salvador","Ahuachapan, El Salvador",13.9260676208459,-89.8388531109964,"Port Saint Lucie, FL",,27.2751073508171,-80.3655171105837,,,,,,,,,"Railroad trains--Juvenile poetry; Emigration and immigration--Juvenile poetry; Children's poetry, Salvadoran; Railraod trains--poetry; Emigration and immigration--Poetry; Salvadoran poetry; Spanish language materials--Bilingual",Trenes--Poesía juvenil; Enmigración y inmigración--Poesía juvenil; Poesía de niños; Salvadoreño; Trens--Poesía; Enmigración y inmigración--Poesía; Poesía salvadoreña; Materiales en español--Bilingüe,Trains; Immigration; Poetry; El Salvador; Children; Borders; Separated families,Trenes; Inmigración; Poesía; El Salvador; Niños; Fronteras; Familias separadas,lower grades,,,,,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0007,1,latchbo0007.jpg,Adelita and the Veggie Cousins,1558856994,Adelita y las primas verduritas,Diane Gonzales Bertrand,Christina Rodriguez,Gabriela Baeza Ventura,"On her first day at a new school, Adelita makes new friends through a lesson on vegetables, including how some vegetables are ""cousins"" because they share certain characters.","En su primer día en la nueva escuela, Adelita hace nuevas amigas a través de una lección sobre las verduras y cómo es que algunas de ellas son ""primas"" porque comparten ciertas características.",2011,"San Antonio, TX","San Antonio, TX",29.4318576360270,-98.4979500102036,,,,,,,,,,,,,Vegetables--Fiction; First day of school--Fiction; Schools--Fiction; Spanish language materials--Bilingual,Verduras--Ficción; Primer día de escuela--Ficción; Escuelas--Ficción; Materiales en español--Bilingüe,New School; New Friends; Vegetables; Soup; Soup Recipe,Escuela nueva; Nuevos amigos; Verduras; Caldo; Recetas,lower grades,,,2.7,3.4,150743,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0008,1,latchbo0008.jpg,Alicia's Fruity Drinks,,Las aguas frescas de Alicia,Lupe Ruiz-Flores,Laura Lacámara,Gabriela Baeza Ventura,"After enjoying a blended fruit drink called ""aguas frescas"" during a festival celebrating Mexico's independence, seven-year-old Alicia and her mother make their own at home. They later invite Alicia's soccer team over to try fruity drinks.","Después de disfrutar un agua fresca durante el festival de la Independencia de México, Alicia, una niña de siete años, y su mamá deciden preparar sus propias aguas frescas. Alicia y su mamá invitan al equipo de fútbol a la casa para que prueben las aguas frescas.",2012,"San Antonio, TX","San Antonio, TX",29.4318576360270,-98.4979500102036,,,,,,,,,,,,,Fruit juices--Ficition; Diabetes--Fiction; Spanish language materials--Bilingual,Aguas frescas--Ficción; Diabetes--Ficción; Materiales en español--Bilingüe,Fruity Drinks; Festival; Fruit; Diabetes; Soccer; Healthy habits; Mothers and daughters,Aguas frescas; Festival; Fruta; Diabetes; Fútbol; Hábitos para mejora salud; Madres e hijas,lower grades,,,3.2,3.1,152601,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0009,1,latchbo0009.jpg,Baseball on Mars,1558855211,Béisbol en Marte,"Rafael Rivera, Jr. and Tim Hoppey",Christina Rodriguez,Gabriela Baeza Ventura,"After ""traveling to Mars"" in Roberto's homemade spaceship, Roberto and his father play a game of catch.","Después de ""viajar a Marte"" en el cohete hecho por Roberto, él y su padre juegan a atrapar la pelota.",2009,"Bronx, NY","El Bronx, NY",40.8446186461040,-73.8677160200529,"Long Island, NY","Long Isand, NY",40.7816369153414,-73.0948227697559,,,,,,,,,Imagination--Fiction; Fathers and sons--Fiction; Space vehicles--Fiction; Puerto Ricans--Fiction; Spanish language materials--Bilingual,Imaginación--Ficción; Padres e hijos--Ficción; Vehículos del espacio--Ficción; Puertorriqueños--Ficción; Materiales en español--Bilingüe,Imagination; Mars; Rocket Ship; Father and son; Baseball;,Imaginación; Marte; Cohete; Padres e hijos; Béisbol,lower grades,570L,570L,3.1,3.5,133831,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
latchbo0010,?,latchbo0010.jpg,Benito's Bizcochitos,1558852654,Los bizcochitos de Benito,Ana Baca,Anthony Accardo,Julia Mercedes Castilla,"As they prepare to make the traditional Christmas cookies known as bizcochitos, Cristina's grandmother tells her the story of how a magical butterfly first introduced these sweet treats to her great-grandfather, a sheperd in the hills of New Mexico.","Mientras se preparan para hacer las galletas tradicionales conocidas como biscochitos, la abuela de Cristina le cuenta la historia de cómo una mariposa mágica introdujo a su tatarabuelo, un pastor de las montañas de Nuevo México, a estos dulces.",1999,"Albuquerque, NM","Albuquerque, NM",35.0855452482484,-106.6687808096480,,,,,,,,,,,,,Mexican American--Juvenile fiction; Mexican Americans--Fiction; Cookies--Fiction; Christmas--Fiction; Spanish language materials--Bilingual,Mexicano americanos--Literatura juvenil; Mexicano americanos--Ficción; Galletas--Ficción; Navidad--Ficción; Materiales en español--Bilingüe,Bizcochitos; Cookies; Family history; Storytelling; Grandmothers; Snow; Butterflies; Traditions,Bizcochitos; Galletas; Historia de familia; Narración de cuentos; Abuelas; Nieve; Mariposas; Tradiciones,lower grades,,,,,,Bilingual (English and Spanish),,Image; StillImage,image/jpg,Arte Público Press,
