objectid,filename,title,title-es,creator,location_first_en,location_first_es,latitude_first,longitude_first,location_second_en,location_second_es,latitude_second,longitude_second,type,format,rights,rightstatement
latchbo0138,latchbo0138.jpg,Mayte and the Bogeyman,Mayte y el Cuco,Ada Acosta González,"Río Piedras, Puerto Rico","Río Piedras, Puerto Rico",18.39313328,-66.04036359,"San Antonio, TX","San Antonio, TX",29.43144466,-98.49528389,image; stillimage,image/jpeg,Arte Público Press,
latchbo0139,latchbo0139.jpg,Grandma and Covid,Abuela y el COVID,Airy Sindik,"Houston, TX","Houston, TX",29.76665985,-95.37015115,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0140,latchbo0140.jpg,Francisco's Kites,Las cometas de Francisco,Alicia Z. Klepeis,Upstate New York,Norte del estado de Nueva York,42.6734389,-73.74852381,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0141,latchbo0141.jpeg,Sand and Song: The ABCS of the River,Arenas y Trinos: Abecedario del río,Alma Flor Ada,"Camagüey, Cuba","Rio Grande Valley, TX",21.39563529,-77.90497622,"San Rafael, CA","San Rafael, CA",37.97918908,-122.532122,image; stillimage,image/jpeg,Arte Público Press,
latchbo0142,latchbo0142.jpg,A Day with My Aunts,Un día con mis tías,Anilú Bernardo,Cuba,Cuba,21.52478608,-77.78116834,"Plantation, FL","Plantation, FL",26.13372743,-80.23310879,image; stillimage,image/jpeg,Arte Público Press,
latchbo0143,latchbo0143.jpg,Grandpa Used to Live Alone; Sundays on Fourth Street,Abuelo vivía solo; Los domingos en la calle Cuatro,Amy Costales,"Eugene, OR","Eugene, OR",44.05648081,-123.0871011,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0144,latchbo0144.jpg,Chiles for Benito; Benito's Sopaipillas; Benito's Bizcochitos,Chiles para Benito; Las sopaipillas de Benito;  Los bizcochitos de Benito,Ana Baca,"Albuquerque, NM","Albuquerque, NM",35.08913393,-106.6511134,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0145,latchbo0145.jpeg,"Oh, Divine Catrina; Luminous Moon, Where Are You?","La divina Catrina; Luna luminosa, ¿dónde estás?",Aracely De Alvarado,"Monterrey, Nuevo León, Mexico","Monterrey, Nuevo León, México",25.69339756,-100.3161178,California,California,36.78318221,-119.4172504,image; stillimage,image/jpeg,Arte Público Press,
latchbo0146?,,"Sing, Froggie, Sing","Canta, rana, canta",Arte Público Press,"Houston, TX","Houston, TX",29.76665985,-95.37015115,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0147,latchbo0147.jpg,Magda's Tortillas; Magda's Piñata Magic,Las tortillas de Magda; Magda y la piñata mágica,Becky Chavarría-Cháirez,"San Antonio, TX","San Antonio, TX",29.43144466,-98.49528389,"Dallas, TX","Dallas, TX",32.78269892,-96.79664946,image; stillimage,image/jpeg,Arte Público Press,
latchbo0148,latchbo0148.jpg,The Amazing Watercolor Fish,El asombroso pez acuarela,Carolyn Dee Flores,"San Antonio, TX","San Antonio, TX",29.43144466,-98.49528389,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0149,,The Land of the Riddles,La tierra de la adivinanzas,César Villarreal Elizondo,"Sabinas Hidalgo, Nuevo León, Mexico","Sabinas Hidalgo, Nuevo León, México",26.51492363,-100.176277,"Monterrey, Nuevo León, Mexico","Monterrey, México",25.69339756,-100.3157745,image; stillimage,image/jpeg,Arte Público Press,
latchbo0150,latchbo0150.jpg,Do You Know the Cucuy?; It's Bedtime Cucuy!,"¿Conoces al Cucuy?; ¡A la cama, Cucuy!",Claudia Galindo,"Dallas, TX","Dallas, TX",32.78269892,-96.79664946,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0151,latchbo0151.jpeg,Benjamin and the Word,Benjamín y la palabra,Daniel A. Olivas,"San Fernando Valley, CA","San Fernando Valley, CA",34.18794677,-118.4396804,,,,,image; stillimage,image/jpeg,Arte Público Press,
