objectid,filename,title,title-es,illustrator,location_first_en,location_first_es,latitude_first,longitude_first,location_second_en,location_second_es,latitude_second,longitude_second,type,format,right,rightstatement
latchbo0206,latchbo206.jpg,The Party for Papá Luis,La fiesta para Papá Luis,Alejandro Galindo,"Murcia, Spain","Murcia, España",37.99708127,-1.130315673,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0207,latchbo207.jpg,"Tina and the Scarecrow Skins; Esteban de Luna, Baby Rescuer!; Pepita Thinks Pink; The Empanadas that Abuela Made; Sip, Slurp, Soup, Soup; Pepita Talks Twice; Pepita Takes Time; Pepita Finds Out; Pepita Packs Up; Pepita on Pepper Street; Pepita and the Bully","Tina y las pieles de espantapájaros; Esteban de Luna, ¡Rescatador de bebés!; Pepita y el color rosado; Las empanadas que hacía la abuela; Caldo, caldo, caldo; Pepita habla dos veces; Pepita siempre tarde; Lo que Pepita descubre; Pepita empaca; Pepita en la calle Pepper; Pepita y la peleonera",Alex Pardo DeLange,"Caracas, Venezuela","Caracas, Venezuela",10.48396698,-66.9036077,"Gainesville, FL","Gainesville, FL",29.6572777,-82.32414459,image; stillimage,image/jpeg,Arte Público Press,
latchbo0208,latchbo208.jpg,Sunflowers,Girasoles,Alisha Ann Guadalupe Gambino,"Kansas City, MO","Kansas City, MO",39.1047596,-94.57891455,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0209,latchbo208.jpg,The Battle of the Snow Cones; Sunflowers,La guerra de las raspas; Girasoles,Alisha Gambino,"Gladstone, MO","Gladstone, MO",39.20811932,-94.55502485,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0210,latchbo0209.jpg,Magda's Tortillas; Magda's Piñata Magic,Las tortillas de Magda; Magda y la piñata mágica,Anne Vega,"Nashville, TN","Nashville, TN",36.16845614,-86.78194962,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0211,latchbo0209.jpg,The Tongue Twister Tournament,El torneo de trabalenguas,Anne Vega,"Columbus, OH","Columbus, OH",39.96693539,-82.99811203,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0212,latchbo0210.jpg,The Last Doll; The Land of the Riddles; Ricardo's Race; Chiles for Benito; César Chávez: The Strugle for Justice; Benito's Sopaipillas; Benito's Bizcochitos; Waiting for Papá,La última muñeca; La tierra de la adivinanzas; La carrera de Ricardo; Chiles para Benito; César Chávez: La lucha por la justicia; Las sopaipillas de Benito; Los bizcochitos de Benito; Esperando a Papá,Anthony Accardo,"Brooklyn, NY","Brooklyn, NY",40.68335632,-73.94484898,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0213,latchbo0211.jpg,Juan and the Chupacabras; Growing up with Tamales,Juan y el Chupacabras; Los tamales de Ana,April Ward,"San Diego, CA","San Diego, CA",32.72235457,-117.160402,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0214,latchbo0211.jpg,Butterflies on Carmen Street,Mariposas en la calle Carmen,April Ward,"New York City, NY","Cuidad de Nueva York, NY",40.71873115,-74.00666388,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0215,,Muffler Man,El hombre mofle,Beto Alvarez,"Dallas, TX","Dallas, TX",32.78298756,-96.79699278,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0216,,"Hit It, Hit It, Hit It: A Fiesta of Numbers; Sing, Froggie, Sing; A Suprise for Teresita; The Amazing Watercolor Fish","Dale, Dale, Dale: Una fiesta de números; Canta, rana, canta; Una Sopresa para Teresita; El asombroso pez acuarela",Carolyn Dee Flores,"San Antonio, TX","San Antonio, TX",29.43144466,-98.49459724,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0217,latchbo0214.jpg,Broken Butterfly Wings,Alas de mariposa rotas,Carrie Salazar,Louisiana,Louisiana,30.52378361,-91.52018075,California,California,36.78400711,-119.4172504,image; stillimage,image/jpeg,Arte Público Press,
latchbo0218,latchbo0215.jpg,The EGGbees: A Story About Family,,Charmaine Echeverria Gyorkos,"Los Angeles, CA","Los Ángeles, CA",34.06085322,-118.2440211,"West Point, CA","West Point, CA",38.40443083,-120.5274306,image; stillimage,image/jpeg,Arte Público Press,
latchbo0219,latchbo0216.jpg,Let's Dance,¡A bailar!,Christina Ann Rodriguez,"Jackson, NJ","Jackson, NJ",40.09816353,-74.36012506,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0220,latchbo0216.jpg,Mayte and the Bogeyman; A Day with My Aunts; Baseball on Mars; Adelita and the Veggie Cousins; The Boy of Maize; We Are Cousins,Mayte y el Cuco; Un día con mis tías; Béisbol en Marte; Adelita y las primas verduritas; El niño de maize; Somo primos,Christina Rodriguez,"Stillwater, MN","Stillwater, MN",45.06082474,-92.80884845,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0221,,Spending Time With Dad,Mis días con Papá,Claudia Delgadillo,"Mexico City, Mexico","Cuidad de México, México",19.43519315,-99.13320935,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0222,latchbo0218.jpg,"Oh, Divine Catrina; My Sister Dulce's Birthday",La divina Catrina; El cumpleaños de mi hermana Dulce,Claudia Navarro,"Mexico City, Mexico","Cuidad de México, México",19.43519315,-99.13320935,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0223,latchbo0219.jpg,"My Grandparents and I; The Rowdy, Rowdy Ranch",Mis abuelos y yo; Allá en El Rancho Grande,D. Nina Cruz,New Jersey,Nueva Jersey,40.06302442,-74.40497903,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0224,latchbo0220.jpg,Kikirikí; The Desert is My Mother; The Gift of the Poinsettia; My Tata's Guitar,Quiquiriquí; El desierto es mi madre; El regalo de la flor de Nochebuena; La guitarra de mi tata,Daniel Lechón,"Houston, TX","Houston, TX",29.7660638,-95.36946451,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0225,,The Land of Lost Things,El país de las cosas perdidas,Dina Bursztyn,Argentina,Argentina,-38.411495,-63.61736291,"New York City, NY","Cuidad de Nueva York, NY",40.71873115,-74.00666388,image; stillimage,image/jpeg,Arte Público Press,
latchbo0226,latchbo0222.jpg,Benjamin and the Word,Benjamín y la palabra,Don Dyen,"Bucks County, PA","Bucks County, PA",40.41599519,-75.24791055,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0227,latchbo0223.jpg,The Woodcutter's Gift; Sundays on Fourth Street,El regalo del leñador; Los domingos en la calle Cuatro,Elaine Jerome,"Manhasset, NY","Lake Tahoe, CA",40.80278735,-73.69889268,"Lake Tahoe, CA","Lake Tahoe, CA",38.94497059,-119.9765047,image; stillimage,image/jpeg,Arte Público Press,
latchbo0228,,The Golden Flower: A Taíno Myth from Puerto Rico,La flor de oro: Un mito taíno de Puerto Rico,Enrique O. Sánchez,Vermont,Vermont,44.56317632,-72.57784568,,,,,image; stillimage,image/jpeg,Arte Público Press,
latchbo0229,,Big Enough,Bastante grande,Enrique O. Sánchez,Dominican Republic,República Dominicana,18.7400777,-70.16230904,Florida,Florida,27.67027623,-81.51472865,image; stillimage,image/jpeg,Arte Público Press,
latchbo0230,latchbo0225.jpg,Grandpa Used to Live Alone,Abuelo vivía solo,Esperanza Gama,"Guadalajara, Jalisco, Mexico","Guadalajara, Jalisco, México",20.6627457,-103.3497822,"Chicago, IL","Chicago, IL",41.88345209,-87.62911591,image; stillimage,image/jpeg,Arte Público Press,
latchbo0231,latchbo0226.jpg,"I am René, the Boy; René Has Two Last Names","Soy René, el niño; René tiene does apellidos",Fabiola Graullera Ramírez,"Mexico City, Mexico","Cuidad de México, México",19.43519315,-99.13320935,,,,,image; stillimage,image/jpeg,Arte Público Press,
