objectid,title,title-es,creator,description-en,description-es,date,location-en,location-es,Latitude,Longitude,subject-en,subject-es,tags-en,tags-es,source,type,format,rights,rightsstatement,object_location,filename
latchbo0001,A Bean and Cheese Taco Birthday,Un cumpleaños con tacos de frijoles con queso,Diane Gonzales Bertrand; Robert Trujillo,"Darío's, five-year-old brother, Ariel wants to celebrate his birthday with his family at the park and eat bean and cheese tacos.","Ariel, el hermano de Dario, de cinco años, quiere celebrar su cumpleaños con su familia en el parque y comer tacos de queso y frijoles.",2015,"San Antonio, Texas","San Antonio, Texas; Oakland, California",29.43045738,-98.50924795,Birthdays--Fiction; Parties--Fiction; Brothers--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Cumpleaños--Ficción; Fiestas--Ficción; Hermanos--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Brothers; Birthdays; Birthday Party; Tacos; Bean and Cheese; Park,hermanos; cumpleaños; Fiesta de Cumpleaños; Tacos; frijoles y queso; parque,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0001.jpg
latchbo0002,A Charmed Life,Una vida con suerte,Gladys E. Barbieri; Lisa Fields,Felicia goes with her mother to the house where she works as a cleaning lady; as her mother is working Felicia bonds with the Mrs. Fitzpatrick who gives her a charmed bracelet.,,2016,"Los Angeles, California","Los Angeles, California; White Plains, Nueva York",34.0507663,-118.2648393,Mothers and daughters--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Madres y hijas--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Immigrants; Immigrant experience; Charm Bracelet; Swings; Differences;,inmigrantes; experencia de inmigrantes; Pulsera de dijes; columpios; diferencias,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0002.jpg
latchbo0003,A Day with My Aunts,Un Día con mis Tías,Amilú Bernardo; Christina Rodriguez,"Isabel looks forward to spending Saturdays with her aunts cooking, dancing and playing dress up. Includes recipe.",,2006,"Plantation, Florida","Cuba; Plantation, Florida; Stillwater, Minnesota",26.12908759,-80.24116463,Aunts--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Tías--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Family; Aunts; Traditional cooking; Empanadas; Cuban; Picadillo; Dress up;Singing; Dancing,Familia; tías; cocinando tradicional; empanadas; cubano; picadillos; disfrazarse; cantando; bailando,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0003.jpg
latchbo0004,A Day Without Sugar,Un día sin azúcar,Diane de Anda; Janet Montecalvo,"Because ten-year-old Tito is at risk of developing diabetes like some his relatives , Tía SofÍa spends a day teaching him and his cousins about healthy, low-sugar or sugar-free treats.",,2012,"Los Angeles, California","Los Angeles, California; Boston, Massachusetts",34.0507663,-118.2648393,Food habits--Fiction; Aunts--Fiction; Cousins--Fiction; Hispanic Americans--Fiction; Spanish language materials--Bilingual,Hábitos de comida--Ficción; Tías--Ficción; Primos--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Family; Diabetes; Lifestyle changes; Sugar; Healthy Eating,familia; diabetes; cambios en el estilo de vida; azucar; comida saludable,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0004.jpg
latchbo0005,A Suprise for Teresita,Una sopresa para Teresita,Virginia Sánchez-Korrol; Carolyn Dee Flores,Teresita waits for the sounds of Tío Rámon's snow cone cart on her birthday as she awaits her suprise from him.,Teresita espera oír las campanas del carrito de piraguas de Tío Ramón el día de su cumpleaños porque sabe que le traerá un regalo.,2016,"Brooklyn, New York","Brooklyn, Nueva York; San Antonio, Texas",40.67672762,-73.9453437,Birthdays--Fiction; Suprises--Fiction; Hispanic American--Fiction; Spanish language materials--Fiction,Cumpleaños--Ficción; Sopresas--Ficción; Hispanoamericanos--Ficción; Materiales en español--Bilingüe,Snow cones; Vendor; Birthday; Suprise; Kitten; Kittens; Puerto Rico; Puerto Rican; Community; Neighborhood; Patience; Gift,piragua; vendedor; cumpleaños; sopresa; gatito; Puerto Rico; Puertorriqueño; comunidad; barrios; paciencia; un regalo,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0005.jpg
latchbo0006,A Train Called Hope,Un tren llamado esperanza,Mario Bencastro; Roberto Casilla,This bilingual picture book contrasts a boy's enjoyment of his childhood toy train with his dangerous journey north crowded on a real train in seach of  family and a better future.,,2021,"Ahuachapan, El Salvador","Ahuachapan, El Salvador; Port Saint Lucie, Florida; Nueva Fairfield, Connecticut",13.92656524,-89.83911183,"Railroad trains--Juvenile poetry; Emigration and immigration--Juvenile poetry; Children's poetry, Salvadoran; Railraod trains--poetry; Emigration and immigration--Poetry; Salvadoran poetry; Spanish language materials--Bilingual",Trenes--Poesía juvenil; Enmigración y inmigración--Poesía juvenil; Poesía de niños; Salvadoreño; Trens--Poesía; Enmigración y inmigración--Poesía; Poesía Salvadoreño; Materiales en español--Bilingüe,Trains; Immigration; Poetry; El Salvador; Children; Borders; Separated Families,trenes; inmigración; poesía; El Salvador; niños; fronteras; familias separadas,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0006.jpg
latchbo0007,Adelita and the Veggie Cousins,Adelita y las primas verduritas,Diane Gonzales Bertrand; Christina Rodriguez,"On her first day at a new school, Adelita makes new friends through a lesson on vegetables, including how some vegetables are ""cousins"" because they share certain characters.",,2011,"San Antonio, Texas","San Antonio, Texas; Providence, Rhode Island",29.43045738,-98.50924795,Vegetables--Fiction; First day of school--Fiction; Schools--Fiction; Spanish language materials--Bilingual,Verduras--Ficción; Primer día de escuela--Ficción; Escuelas--Ficción; Materiales en español--Bilingüe,"New School; New Friends; Vegetables; Squash; Reference to Sip, Slurp, Soup, Soup / Caldo, caldo, caldo; Soup Recipe","Nueva escuela; nuevo amigos; verduras; calabaza; referencia a Caldo. caldo, caldo, caldo; receta de caldo",,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0007.jpg
latchbo0008,Alicia's Fruity Drinks,Las aguas frescas de Alicia,Lupe Ruiz-Flores; Laura Lacámara,"After enjoying a blended fruit drink called aguas frescas during a festival celebrating Mexico's independence, seven-year-old Alicia and her mother make their own at home, then invite Alicia's soccer team over to try them.",,2012,"San Antonio, Texas","San Antonio, Texas; Venice, California",29.43045738,-98.50924795,Fruit juices--Ficition; Diabetes--Fiction; Spanish language materials--Bilingual,Aguas frescas--Ficción; Diabetės--Ficción; Materiales en español--Bilingüe,Fruity Drinks; Festival; Fruit; Diabetes; Soccer; Healthy habits; Mothers and daughters,Aguas Frescas; Festival; Fruta; Diabetės; Fútbol; Hábitos para mejora salud; Madres y hijas,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0008.jpg
latchbo0009,Baseball on Mars,Béisbol en Marte,"Rafael Rivera, Jr. and Tim Hoppey; Christina Rodriguez","After ""traveling to Mars"" in Roberto's homemade spaceship, Roberto and his father play a game of catch.",,2009,"The Bronx, New York","El Bronx, Nueva York; Long Island, Nueva York; Stillwater, Minnesota",40.84565752,-73.85947624,Imagination--Fiction; Fathers and sons--Fiction; Space vehicles--Fiction; Puerto Ricans--Fiction; Spanish language materials--Bilingual,Imaginación--Ficción; Padres y hijos--Ficción; Puertorriqueños--Ficción; Materiales en español--Bilingüe,Imagination; Mars; Rocket Ship; Father and son; Baseball;,imaginación; Marte; cohete; Padres y hijos; béisbol,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0009.jpg
latchbo0010,Benito's Bizcochitos,Los bizcochitos de Benito,Ana Baca; Anthony Accardo,"As they prepare to make the traditional Christmas cookies known as bizcochitos, Cristina's grandmother tells her the story of how a magical butterfly first introduced these sweet treats to her great-grandfather, a sheperd in the hills of New Mexico.",,1999,"Albuquerque, New Mexico","Albuquerque, Nuevo México; Brooklyn, Nueva York",35.08423731,-106.6414756,Mexican American--Juvenile fiction; Mexican Americans--Fiction; Cookies--Fiction; Christmas--Fiction; Spanish language materials--Bilingual,Mexicano americanos--Literatura juvenil; Mexican americanos--Ficción; Galletas--Ficción; Navidad--Ficción; Materiales en español--Bilingüe,Bizcochitos; Cookies; Family history; Storytelling; Grandmothers; Snow; Butterflies,Bizcochitos; Galletas; Historia de familia; narración de cuentos; Abuelas; Nieve; Mariposas,,Image; StillImage,image/jpeg,Arte Público Press,,,latchbo0010.jpg
